2026-03-08 06:23:54 | INFO     |                 |        |      | services.notifications.telegram_v2:_start_queue_processor:168 | [TelegramV2] Pool de 5 workers iniciado
2026-03-08 06:23:54 | INFO     |                 |        |      | services.notifications.telegram_v2:start:247 | [TelegramV2] Pool de workers iniciado via start()
2026-03-08 06:23:54 | INFO     |                 |        |      | services.notifications.telegram_v2:_start_queue_processor:168 | [TelegramV2] Pool de 5 workers iniciado
2026-03-08 06:23:54 | INFO     |                 |        |      | services.notifications.telegram_v2:start:249 | [TelegramV2] Pool de workers iniciado via start()
2026-03-08 06:33:41 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:34:01 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:34:12 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:34:33 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:34:44 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:34:56 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:35:06 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:35:18 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:35:40 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:35:50 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:36:03 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:36:25 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:36:47 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:37:00 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:37:22 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:37:43 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:38:03 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:38:16 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:38:46 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:38:59 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:39:03 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:39:22 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
2026-03-08 06:39:35 | DEBUG    |                 |        |      | services.notifications.telegram:send_message:138 | 🔕 Notificação bloqueada - módulo de notificações desligado
